"SITE_NO","DATE","TIME","GEN_ENERGY","TEMPERATURE","SOLAR_IRRADIANCE","WIND_SPEED","MODULE_TEMPERATURE"
"SJ002","2017-09-01","05:00:00","0.0000", , ,"0.0000", 
"SJ002","2017-09-01","05:10:00","0.0000", , ,"0.0000", 
"SJ002","2017-09-01","05:20:00","0.0000", , ,"0.0000", 
"SJ002","2017-09-01","05:30:00","0.0000", , ,"0.0000", 
"SJ002","2017-09-01","05:40:00","0.0000","13.6862", ,"0.1185","11.9400"
"SJ002","2017-09-01","05:50:00","0.0000","13.8017", ,"0.0000","11.8287"
"SJ002","2017-09-01","06:00:00","0.0000","13.9671","3.8071","0.0000","12.1125"
"SJ002","2017-09-01","06:10:00","0.0000","13.9329","8.9088","0.0000","12.4300"
"SJ002","2017-09-01","06:20:00","5.0000","14.0250","16.5691","0.0000","12.5450"
"SJ002","2017-09-01","06:30:00","9.0000","14.1312","24.2490","0.0000","12.6575"
"SJ002","2017-09-01","06:40:00","13.0000","14.2704","30.4085","0.2780","12.7654"
"SJ002","2017-09-01","06:50:00","24.0000","14.5208","77.0022","0.4188","13.2058"
"SJ002","2017-09-01","07:00:00","37.0000","16.0021","155.2375","0.2648","14.4633"
"SJ002","2017-09-01","07:10:00","58.0000","16.5817","185.5068","0.7195","15.5621"
"SJ002","2017-09-01","07:20:00","82.0000","16.9942","218.5371","0.8092","16.7767"
"SJ002","2017-09-01","07:30:00","104.0000","16.8142","250.1793","0.9772","17.6950"
"SJ002","2017-09-01","07:40:00","125.0000","17.4913","278.3280","0.7000","19.3912"
"SJ002","2017-09-01","07:50:00","112.0000","17.8888","245.6305","1.0708","20.9050"
"SJ002","2017-09-01","08:00:00","134.0000","18.0529","266.6957","0.8790","20.7662"
"SJ002","2017-09-01","08:10:00","188.0000","19.5475","364.2604","0.1920","24.5083"
"SJ002","2017-09-01","08:20:00","213.0000","20.1083","418.0974","0.0290","27.6238"
"SJ002","2017-09-01","08:30:00","224.0000","20.7600","426.2107","0.0000","30.0871"
"SJ002","2017-09-01","08:40:00","239.0000","21.6171","464.0159","0.0000","33.7321"
"SJ002","2017-09-01","08:50:00","248.0000","22.6383","458.3934","0.0420","37.0838"
"SJ002","2017-09-01","09:00:00","265.0000","23.4075","548.5974","0.0420","39.1800"
"SJ002","2017-09-01","09:10:00","288.0000","24.0663","579.2392","0.3568","40.8325"
